,cluster_nl,date,launch_date
0,BRAND_014B_COUNTRY_0309,2023-01-01,2022-04-01
1,BRAND_014B_COUNTRY_0309,2023-02-01,2022-04-01
2,BRAND_014B_COUNTRY_0309,2023-03-01,2022-04-01
3,BRAND_014B_COUNTRY_0309,2023-04-01,2022-04-01
4,BRAND_014B_COUNTRY_0309,2023-05-01,2022-04-01
5,BRAND_014B_COUNTRY_0309,2023-06-01,2022-04-01
6,BRAND_014B_COUNTRY_0309,2023-07-01,2022-04-01
7,BRAND_014B_COUNTRY_0309,2023-08-01,2022-04-01
8,BRAND_014B_COUNTRY_0309,2023-09-01,2022-04-01
9,BRAND_014B_COUNTRY_0309,2023-10-01,2022-04-01
10,BRAND_014B_COUNTRY_0309,2023-11-01,2022-04-01
11,BRAND_014B_COUNTRY_0309,2023-12-01,2022-04-01
12,BRAND_014B_COUNTRY_06E4,2023-01-01,2022-09-01
13,BRAND_014B_COUNTRY_06E4,2023-02-01,2022-09-01
14,BRAND_014B_COUNTRY_06E4,2023-03-01,2022-09-01
15,BRAND_014B_COUNTRY_06E4,2023-04-01,2022-09-01
16,BRAND_014B_COUNTRY_06E4,2023-05-01,2022-09-01
17,BRAND_014B_COUNTRY_06E4,2023-06-01,2022-09-01
18,BRAND_014B_COUNTRY_06E4,2023-07-01,2022-09-01
19,BRAND_014B_COUNTRY_06E4,2023-08-01,2022-09-01
20,BRAND_014B_COUNTRY_06E4,2023-09-01,2022-09-01
21,BRAND_014B_COUNTRY_06E4,2023-10-01,2022-09-01
22,BRAND_014B_COUNTRY_06E4,2023-11-01,2022-09-01
23,BRAND_014B_COUNTRY_06E4,2023-12-01,2022-09-01
24,BRAND_014B_COUNTRY_6C16,2023-01-01,2022-03-01
25,BRAND_014B_COUNTRY_6C16,2023-02-01,2022-03-01
26,BRAND_014B_COUNTRY_6C16,2023-03-01,2022-03-01
27,BRAND_014B_COUNTRY_6C16,2023-04-01,2022-03-01
28,BRAND_014B_COUNTRY_6C16,2023-05-01,2022-03-01
29,BRAND_014B_COUNTRY_6C16,2023-06-01,2022-03-01
30,BRAND_014B_COUNTRY_6C16,2023-07-01,2022-03-01
31,BRAND_014B_COUNTRY_6C16,2023-08-01,2022-03-01
32,BRAND_014B_COUNTRY_6C16,2023-09-01,2022-03-01
33,BRAND_014B_COUNTRY_6C16,2023-10-01,2022-03-01
34,BRAND_014B_COUNTRY_6C16,2023-11-01,2022-03-01
35,BRAND_014B_COUNTRY_6C16,2023-12-01,2022-03-01
36,BRAND_056A_COUNTRY_0309,2023-01-01,2023-01-01
37,BRAND_056A_COUNTRY_0309,2023-02-01,2023-01-01
38,BRAND_056A_COUNTRY_0309,2023-03-01,2023-01-01
39,BRAND_056A_COUNTRY_0309,2023-04-01,2023-01-01
40,BRAND_056A_COUNTRY_0309,2023-05-01,2023-01-01
41,BRAND_056A_COUNTRY_0309,2023-06-01,2023-01-01
42,BRAND_056A_COUNTRY_0309,2023-07-01,2023-01-01
43,BRAND_056A_COUNTRY_0309,2023-08-01,2023-01-01
44,BRAND_056A_COUNTRY_0309,2023-09-01,2023-01-01
45,BRAND_056A_COUNTRY_0309,2023-10-01,2023-01-01
46,BRAND_056A_COUNTRY_0309,2023-11-01,2023-01-01
47,BRAND_056A_COUNTRY_0309,2023-12-01,2023-01-01
48,BRAND_056A_COUNTRY_06E4,2023-05-01,2023-05-01
49,BRAND_056A_COUNTRY_06E4,2023-06-01,2023-05-01
50,BRAND_056A_COUNTRY_06E4,2023-07-01,2023-05-01
51,BRAND_056A_COUNTRY_06E4,2023-08-01,2023-05-01
52,BRAND_056A_COUNTRY_06E4,2023-09-01,2023-05-01
53,BRAND_056A_COUNTRY_06E4,2023-10-01,2023-05-01
54,BRAND_056A_COUNTRY_06E4,2023-11-01,2023-05-01
55,BRAND_056A_COUNTRY_06E4,2023-12-01,2023-05-01
56,BRAND_056A_COUNTRY_1007,2023-06-01,2023-06-01
57,BRAND_056A_COUNTRY_1007,2023-07-01,2023-06-01
58,BRAND_056A_COUNTRY_1007,2023-08-01,2023-06-01
59,BRAND_056A_COUNTRY_1007,2023-09-01,2023-06-01
60,BRAND_056A_COUNTRY_1007,2023-10-01,2023-06-01
61,BRAND_056A_COUNTRY_1007,2023-11-01,2023-06-01
62,BRAND_056A_COUNTRY_1007,2023-12-01,2023-06-01
63,BRAND_056A_COUNTRY_3536,2023-07-01,2023-07-01
64,BRAND_056A_COUNTRY_3536,2023-08-01,2023-07-01
65,BRAND_056A_COUNTRY_3536,2023-09-01,2023-07-01
66,BRAND_056A_COUNTRY_3536,2023-10-01,2023-07-01
67,BRAND_056A_COUNTRY_3536,2023-11-01,2023-07-01
68,BRAND_056A_COUNTRY_3536,2023-12-01,2023-07-01
69,BRAND_056A_COUNTRY_3AD0,2023-01-01,2022-08-01
70,BRAND_056A_COUNTRY_3AD0,2023-02-01,2022-08-01
71,BRAND_056A_COUNTRY_3AD0,2023-03-01,2022-08-01
72,BRAND_056A_COUNTRY_3AD0,2023-04-01,2022-08-01
73,BRAND_056A_COUNTRY_3AD0,2023-05-01,2022-08-01
74,BRAND_056A_COUNTRY_3AD0,2023-06-01,2022-08-01
75,BRAND_056A_COUNTRY_3AD0,2023-07-01,2022-08-01
76,BRAND_056A_COUNTRY_3AD0,2023-08-01,2022-08-01
77,BRAND_056A_COUNTRY_3AD0,2023-09-01,2022-08-01
78,BRAND_056A_COUNTRY_3AD0,2023-10-01,2022-08-01
79,BRAND_056A_COUNTRY_3AD0,2023-11-01,2022-08-01
80,BRAND_056A_COUNTRY_3AD0,2023-12-01,2022-08-01
81,BRAND_056A_COUNTRY_4242,2023-05-01,2023-05-01
82,BRAND_056A_COUNTRY_4242,2023-06-01,2023-05-01
83,BRAND_056A_COUNTRY_4242,2023-07-01,2023-05-01
84,BRAND_056A_COUNTRY_4242,2023-08-01,2023-05-01
85,BRAND_056A_COUNTRY_4242,2023-09-01,2023-05-01
86,BRAND_056A_COUNTRY_4242,2023-10-01,2023-05-01
87,BRAND_056A_COUNTRY_4242,2023-11-01,2023-05-01
88,BRAND_056A_COUNTRY_4242,2023-12-01,2023-05-01
89,BRAND_056A_COUNTRY_4253,2023-10-01,2023-10-01
90,BRAND_056A_COUNTRY_4253,2023-11-01,2023-10-01
91,BRAND_056A_COUNTRY_4253,2023-12-01,2023-10-01
92,BRAND_056A_COUNTRY_4442,2023-01-01,2022-09-01
93,BRAND_056A_COUNTRY_4442,2023-02-01,2022-09-01
94,BRAND_056A_COUNTRY_4442,2023-03-01,2022-09-01
95,BRAND_056A_COUNTRY_4442,2023-04-01,2022-09-01
96,BRAND_056A_COUNTRY_4442,2023-05-01,2022-09-01
97,BRAND_056A_COUNTRY_4442,2023-06-01,2022-09-01
98,BRAND_056A_COUNTRY_4442,2023-07-01,2022-09-01
99,BRAND_056A_COUNTRY_4442,2023-08-01,2022-09-01
100,BRAND_056A_COUNTRY_4442,2023-09-01,2022-09-01
101,BRAND_056A_COUNTRY_4442,2023-10-01,2022-09-01
102,BRAND_056A_COUNTRY_4442,2023-11-01,2022-09-01
103,BRAND_056A_COUNTRY_4442,2023-12-01,2022-09-01
104,BRAND_056A_COUNTRY_445D,2023-04-01,2023-04-01
105,BRAND_056A_COUNTRY_445D,2023-05-01,2023-04-01
106,BRAND_056A_COUNTRY_445D,2023-06-01,2023-04-01
107,BRAND_056A_COUNTRY_445D,2023-07-01,2023-04-01
108,BRAND_056A_COUNTRY_445D,2023-08-01,2023-04-01
109,BRAND_056A_COUNTRY_445D,2023-09-01,2023-04-01
110,BRAND_056A_COUNTRY_445D,2023-10-01,2023-04-01
111,BRAND_056A_COUNTRY_445D,2023-11-01,2023-04-01
112,BRAND_056A_COUNTRY_445D,2023-12-01,2023-04-01
113,BRAND_056A_COUNTRY_458E,2023-01-01,2022-06-01
114,BRAND_056A_COUNTRY_458E,2023-02-01,2022-06-01
115,BRAND_056A_COUNTRY_458E,2023-03-01,2022-06-01
116,BRAND_056A_COUNTRY_458E,2023-04-01,2022-06-01
117,BRAND_056A_COUNTRY_458E,2023-05-01,2022-06-01
118,BRAND_056A_COUNTRY_458E,2023-06-01,2022-06-01
119,BRAND_056A_COUNTRY_458E,2023-07-01,2022-06-01
120,BRAND_056A_COUNTRY_458E,2023-08-01,2022-06-01
121,BRAND_056A_COUNTRY_458E,2023-09-01,2022-06-01
122,BRAND_056A_COUNTRY_458E,2023-10-01,2022-06-01
123,BRAND_056A_COUNTRY_458E,2023-11-01,2022-06-01
124,BRAND_056A_COUNTRY_458E,2023-12-01,2022-06-01
125,BRAND_056A_COUNTRY_5180,2023-04-01,2023-04-01
126,BRAND_056A_COUNTRY_5180,2023-05-01,2023-04-01
127,BRAND_056A_COUNTRY_5180,2023-06-01,2023-04-01
128,BRAND_056A_COUNTRY_5180,2023-07-01,2023-04-01
129,BRAND_056A_COUNTRY_5180,2023-08-01,2023-04-01
130,BRAND_056A_COUNTRY_5180,2023-09-01,2023-04-01
131,BRAND_056A_COUNTRY_5180,2023-10-01,2023-04-01
132,BRAND_056A_COUNTRY_5180,2023-11-01,2023-04-01
133,BRAND_056A_COUNTRY_5180,2023-12-01,2023-04-01
134,BRAND_056A_COUNTRY_53A5,2023-01-01,2022-08-01
135,BRAND_056A_COUNTRY_53A5,2023-02-01,2022-08-01
136,BRAND_056A_COUNTRY_53A5,2023-03-01,2022-08-01
137,BRAND_056A_COUNTRY_53A5,2023-04-01,2022-08-01
138,BRAND_056A_COUNTRY_53A5,2023-05-01,2022-08-01
139,BRAND_056A_COUNTRY_53A5,2023-06-01,2022-08-01
140,BRAND_056A_COUNTRY_53A5,2023-07-01,2022-08-01
141,BRAND_056A_COUNTRY_53A5,2023-08-01,2022-08-01
142,BRAND_056A_COUNTRY_53A5,2023-09-01,2022-08-01
143,BRAND_056A_COUNTRY_53A5,2023-10-01,2022-08-01
144,BRAND_056A_COUNTRY_53A5,2023-11-01,2022-08-01
145,BRAND_056A_COUNTRY_53A5,2023-12-01,2022-08-01
146,BRAND_056A_COUNTRY_5A54,2023-05-01,2023-05-01
147,BRAND_056A_COUNTRY_5A54,2023-06-01,2023-05-01
148,BRAND_056A_COUNTRY_5A54,2023-07-01,2023-05-01
149,BRAND_056A_COUNTRY_5A54,2023-08-01,2023-05-01
150,BRAND_056A_COUNTRY_5A54,2023-09-01,2023-05-01
151,BRAND_056A_COUNTRY_5A54,2023-10-01,2023-05-01
152,BRAND_056A_COUNTRY_5A54,2023-11-01,2023-05-01
153,BRAND_056A_COUNTRY_5A54,2023-12-01,2023-05-01
154,BRAND_056A_COUNTRY_6B71,2023-05-01,2023-05-01
155,BRAND_056A_COUNTRY_6B71,2023-06-01,2023-05-01
156,BRAND_056A_COUNTRY_6B71,2023-07-01,2023-05-01
157,BRAND_056A_COUNTRY_6B71,2023-08-01,2023-05-01
158,BRAND_056A_COUNTRY_6B71,2023-09-01,2023-05-01
159,BRAND_056A_COUNTRY_6B71,2023-10-01,2023-05-01
160,BRAND_056A_COUNTRY_6B71,2023-11-01,2023-05-01
161,BRAND_056A_COUNTRY_6B71,2023-12-01,2023-05-01
162,BRAND_056A_COUNTRY_6C16,2023-01-01,2022-10-01
163,BRAND_056A_COUNTRY_6C16,2023-02-01,2022-10-01
164,BRAND_056A_COUNTRY_6C16,2023-03-01,2022-10-01
165,BRAND_056A_COUNTRY_6C16,2023-04-01,2022-10-01
166,BRAND_056A_COUNTRY_6C16,2023-05-01,2022-10-01
167,BRAND_056A_COUNTRY_6C16,2023-06-01,2022-10-01
168,BRAND_056A_COUNTRY_6C16,2023-07-01,2022-10-01
169,BRAND_056A_COUNTRY_6C16,2023-08-01,2022-10-01
170,BRAND_056A_COUNTRY_6C16,2023-09-01,2022-10-01
171,BRAND_056A_COUNTRY_6C16,2023-10-01,2022-10-01
172,BRAND_056A_COUNTRY_6C16,2023-11-01,2022-10-01
173,BRAND_056A_COUNTRY_6C16,2023-12-01,2022-10-01
174,BRAND_056A_COUNTRY_6F78,2023-11-01,2023-11-01
175,BRAND_056A_COUNTRY_6F78,2023-12-01,2023-11-01
176,BRAND_056A_COUNTRY_89F9,2023-02-01,2023-02-01
177,BRAND_056A_COUNTRY_89F9,2023-03-01,2023-02-01
178,BRAND_056A_COUNTRY_89F9,2023-04-01,2023-02-01
179,BRAND_056A_COUNTRY_89F9,2023-05-01,2023-02-01
180,BRAND_056A_COUNTRY_89F9,2023-06-01,2023-02-01
181,BRAND_056A_COUNTRY_89F9,2023-07-01,2023-02-01
182,BRAND_056A_COUNTRY_89F9,2023-08-01,2023-02-01
183,BRAND_056A_COUNTRY_89F9,2023-09-01,2023-02-01
184,BRAND_056A_COUNTRY_89F9,2023-10-01,2023-02-01
185,BRAND_056A_COUNTRY_89F9,2023-11-01,2023-02-01
186,BRAND_056A_COUNTRY_89F9,2023-12-01,2023-02-01
187,BRAND_056A_COUNTRY_8B47,2023-11-01,2023-11-01
188,BRAND_056A_COUNTRY_8B47,2023-12-01,2023-11-01
189,BRAND_056A_COUNTRY_907E,2023-11-01,2023-11-01
190,BRAND_056A_COUNTRY_907E,2023-12-01,2023-11-01
191,BRAND_056A_COUNTRY_9488,2023-11-01,2023-11-01
192,BRAND_056A_COUNTRY_9488,2023-12-01,2023-11-01
193,BRAND_056A_COUNTRY_9891,2023-01-01,2022-11-01
194,BRAND_056A_COUNTRY_9891,2023-02-01,2022-11-01
195,BRAND_056A_COUNTRY_9891,2023-03-01,2022-11-01
196,BRAND_056A_COUNTRY_9891,2023-04-01,2022-11-01
197,BRAND_056A_COUNTRY_9891,2023-05-01,2022-11-01
198,BRAND_056A_COUNTRY_9891,2023-06-01,2022-11-01
199,BRAND_056A_COUNTRY_9891,2023-07-01,2022-11-01
200,BRAND_056A_COUNTRY_9891,2023-08-01,2022-11-01
201,BRAND_056A_COUNTRY_9891,2023-09-01,2022-11-01
202,BRAND_056A_COUNTRY_9891,2023-10-01,2022-11-01
203,BRAND_056A_COUNTRY_9891,2023-11-01,2022-11-01
204,BRAND_056A_COUNTRY_9891,2023-12-01,2022-11-01
205,BRAND_056A_COUNTRY_A67D,2023-03-01,2023-03-01
206,BRAND_056A_COUNTRY_A67D,2023-04-01,2023-03-01
207,BRAND_056A_COUNTRY_A67D,2023-05-01,2023-03-01
208,BRAND_056A_COUNTRY_A67D,2023-06-01,2023-03-01
209,BRAND_056A_COUNTRY_A67D,2023-07-01,2023-03-01
210,BRAND_056A_COUNTRY_A67D,2023-08-01,2023-03-01
211,BRAND_056A_COUNTRY_A67D,2023-09-01,2023-03-01
212,BRAND_056A_COUNTRY_A67D,2023-10-01,2023-03-01
213,BRAND_056A_COUNTRY_A67D,2023-11-01,2023-03-01
214,BRAND_056A_COUNTRY_A67D,2023-12-01,2023-03-01
215,BRAND_056A_COUNTRY_C8F4,2023-03-01,2023-03-01
216,BRAND_056A_COUNTRY_C8F4,2023-04-01,2023-03-01
217,BRAND_056A_COUNTRY_C8F4,2023-05-01,2023-03-01
218,BRAND_056A_COUNTRY_C8F4,2023-06-01,2023-03-01
219,BRAND_056A_COUNTRY_C8F4,2023-07-01,2023-03-01
220,BRAND_056A_COUNTRY_C8F4,2023-08-01,2023-03-01
221,BRAND_056A_COUNTRY_C8F4,2023-09-01,2023-03-01
222,BRAND_056A_COUNTRY_C8F4,2023-10-01,2023-03-01
223,BRAND_056A_COUNTRY_C8F4,2023-11-01,2023-03-01
224,BRAND_056A_COUNTRY_C8F4,2023-12-01,2023-03-01
225,BRAND_056A_COUNTRY_D8B0,2023-01-01,2022-10-01
226,BRAND_056A_COUNTRY_D8B0,2023-02-01,2022-10-01
227,BRAND_056A_COUNTRY_D8B0,2023-03-01,2022-10-01
228,BRAND_056A_COUNTRY_D8B0,2023-04-01,2022-10-01
229,BRAND_056A_COUNTRY_D8B0,2023-05-01,2022-10-01
230,BRAND_056A_COUNTRY_D8B0,2023-06-01,2022-10-01
231,BRAND_056A_COUNTRY_D8B0,2023-07-01,2022-10-01
232,BRAND_056A_COUNTRY_D8B0,2023-08-01,2022-10-01
233,BRAND_056A_COUNTRY_D8B0,2023-09-01,2022-10-01
234,BRAND_056A_COUNTRY_D8B0,2023-10-01,2022-10-01
235,BRAND_056A_COUNTRY_D8B0,2023-11-01,2022-10-01
236,BRAND_056A_COUNTRY_D8B0,2023-12-01,2022-10-01
237,BRAND_056A_COUNTRY_EA71,2023-09-01,2023-09-01
238,BRAND_056A_COUNTRY_EA71,2023-10-01,2023-09-01
239,BRAND_056A_COUNTRY_EA71,2023-11-01,2023-09-01
240,BRAND_056A_COUNTRY_EA71,2023-12-01,2023-09-01
241,BRAND_056A_COUNTRY_EF33,2023-08-01,2023-08-01
242,BRAND_056A_COUNTRY_EF33,2023-09-01,2023-08-01
243,BRAND_056A_COUNTRY_EF33,2023-10-01,2023-08-01
244,BRAND_056A_COUNTRY_EF33,2023-11-01,2023-08-01
245,BRAND_056A_COUNTRY_EF33,2023-12-01,2023-08-01
246,BRAND_106A_COUNTRY_E319,2023-01-01,2022-12-01
247,BRAND_106A_COUNTRY_E319,2023-02-01,2022-12-01
248,BRAND_106A_COUNTRY_E319,2023-03-01,2022-12-01
249,BRAND_106A_COUNTRY_E319,2023-04-01,2022-12-01
250,BRAND_106A_COUNTRY_E319,2023-05-01,2022-12-01
251,BRAND_106A_COUNTRY_E319,2023-06-01,2022-12-01
252,BRAND_106A_COUNTRY_E319,2023-07-01,2022-12-01
253,BRAND_106A_COUNTRY_E319,2023-08-01,2022-12-01
254,BRAND_106A_COUNTRY_E319,2023-09-01,2022-12-01
255,BRAND_106A_COUNTRY_E319,2023-10-01,2022-12-01
256,BRAND_106A_COUNTRY_E319,2023-11-01,2022-12-01
257,BRAND_106A_COUNTRY_E319,2023-12-01,2022-12-01
258,BRAND_12B2_COUNTRY_AE54,2023-01-01,2022-03-01
259,BRAND_12B2_COUNTRY_AE54,2023-02-01,2022-03-01
260,BRAND_12B2_COUNTRY_AE54,2023-03-01,2022-03-01
261,BRAND_12B2_COUNTRY_AE54,2023-04-01,2022-03-01
262,BRAND_12B2_COUNTRY_AE54,2023-05-01,2022-03-01
263,BRAND_12B2_COUNTRY_AE54,2023-06-01,2022-03-01
264,BRAND_12B2_COUNTRY_AE54,2023-07-01,2022-03-01
265,BRAND_12B2_COUNTRY_AE54,2023-08-01,2022-03-01
266,BRAND_12B2_COUNTRY_AE54,2023-09-01,2022-03-01
267,BRAND_12B2_COUNTRY_AE54,2023-10-01,2022-03-01
268,BRAND_12B2_COUNTRY_AE54,2023-11-01,2022-03-01
269,BRAND_12B2_COUNTRY_AE54,2023-12-01,2022-03-01
270,BRAND_138D_COUNTRY_5FEB,2023-11-01,2023-11-01
271,BRAND_138D_COUNTRY_5FEB,2023-12-01,2023-11-01
272,BRAND_1E6F_COUNTRY_4647,2023-01-01,2022-05-01
273,BRAND_1E6F_COUNTRY_4647,2023-02-01,2022-05-01
274,BRAND_1E6F_COUNTRY_4647,2023-03-01,2022-05-01
275,BRAND_1E6F_COUNTRY_4647,2023-04-01,2022-05-01
276,BRAND_1E6F_COUNTRY_4647,2023-05-01,2022-05-01
277,BRAND_1E6F_COUNTRY_4647,2023-06-01,2022-05-01
278,BRAND_1E6F_COUNTRY_4647,2023-07-01,2022-05-01
279,BRAND_1E6F_COUNTRY_4647,2023-08-01,2022-05-01
280,BRAND_1E6F_COUNTRY_4647,2023-09-01,2022-05-01
281,BRAND_1E6F_COUNTRY_4647,2023-10-01,2022-05-01
282,BRAND_1E6F_COUNTRY_4647,2023-11-01,2022-05-01
283,BRAND_1E6F_COUNTRY_4647,2023-12-01,2022-05-01
284,BRAND_1E6F_COUNTRY_AE54,2023-01-01,2022-01-01
285,BRAND_1E6F_COUNTRY_AE54,2023-02-01,2022-01-01
286,BRAND_1E6F_COUNTRY_AE54,2023-03-01,2022-01-01
287,BRAND_1E6F_COUNTRY_AE54,2023-04-01,2022-01-01
288,BRAND_1E6F_COUNTRY_AE54,2023-05-01,2022-01-01
289,BRAND_1E6F_COUNTRY_AE54,2023-06-01,2022-01-01
290,BRAND_1E6F_COUNTRY_AE54,2023-07-01,2022-01-01
291,BRAND_1E6F_COUNTRY_AE54,2023-08-01,2022-01-01
292,BRAND_1E6F_COUNTRY_AE54,2023-09-01,2022-01-01
293,BRAND_1E6F_COUNTRY_AE54,2023-10-01,2022-01-01
294,BRAND_1E6F_COUNTRY_AE54,2023-11-01,2022-01-01
295,BRAND_1E6F_COUNTRY_AE54,2023-12-01,2022-01-01
296,BRAND_248D_COUNTRY_907E,2023-11-01,2023-11-01
297,BRAND_248D_COUNTRY_907E,2023-12-01,2023-11-01
298,BRAND_248D_COUNTRY_C89B,2023-03-01,2023-03-01
299,BRAND_248D_COUNTRY_C89B,2023-04-01,2023-03-01
300,BRAND_248D_COUNTRY_C89B,2023-05-01,2023-03-01
301,BRAND_248D_COUNTRY_C89B,2023-06-01,2023-03-01
302,BRAND_248D_COUNTRY_C89B,2023-07-01,2023-03-01
303,BRAND_248D_COUNTRY_C89B,2023-08-01,2023-03-01
304,BRAND_248D_COUNTRY_C89B,2023-09-01,2023-03-01
305,BRAND_248D_COUNTRY_C89B,2023-10-01,2023-03-01
306,BRAND_248D_COUNTRY_C89B,2023-11-01,2023-03-01
307,BRAND_248D_COUNTRY_C89B,2023-12-01,2023-03-01
308,BRAND_248D_COUNTRY_EA71,2023-01-01,2022-08-01
309,BRAND_248D_COUNTRY_EA71,2023-02-01,2022-08-01
310,BRAND_248D_COUNTRY_EA71,2023-03-01,2022-08-01
311,BRAND_248D_COUNTRY_EA71,2023-04-01,2022-08-01
312,BRAND_248D_COUNTRY_EA71,2023-05-01,2022-08-01
313,BRAND_248D_COUNTRY_EA71,2023-06-01,2022-08-01
314,BRAND_248D_COUNTRY_EA71,2023-07-01,2022-08-01
315,BRAND_248D_COUNTRY_EA71,2023-08-01,2022-08-01
316,BRAND_248D_COUNTRY_EA71,2023-09-01,2022-08-01
317,BRAND_248D_COUNTRY_EA71,2023-10-01,2022-08-01
318,BRAND_248D_COUNTRY_EA71,2023-11-01,2022-08-01
319,BRAND_248D_COUNTRY_EA71,2023-12-01,2022-08-01
320,BRAND_267B_COUNTRY_0C7D,2023-01-01,2022-01-01
321,BRAND_267B_COUNTRY_0C7D,2023-02-01,2022-01-01
322,BRAND_267B_COUNTRY_0C7D,2023-03-01,2022-01-01
323,BRAND_267B_COUNTRY_0C7D,2023-04-01,2022-01-01
324,BRAND_267B_COUNTRY_0C7D,2023-05-01,2022-01-01
325,BRAND_267B_COUNTRY_0C7D,2023-06-01,2022-01-01
326,BRAND_267B_COUNTRY_0C7D,2023-07-01,2022-01-01
327,BRAND_267B_COUNTRY_0C7D,2023-08-01,2022-01-01
328,BRAND_267B_COUNTRY_0C7D,2023-09-01,2022-01-01
329,BRAND_267B_COUNTRY_0C7D,2023-10-01,2022-01-01
330,BRAND_267B_COUNTRY_0C7D,2023-11-01,2022-01-01
331,BRAND_267B_COUNTRY_0C7D,2023-12-01,2022-01-01
332,BRAND_267B_COUNTRY_9488,2023-01-01,2022-01-01
333,BRAND_267B_COUNTRY_9488,2023-02-01,2022-01-01
334,BRAND_267B_COUNTRY_9488,2023-03-01,2022-01-01
335,BRAND_267B_COUNTRY_9488,2023-04-01,2022-01-01
336,BRAND_267B_COUNTRY_9488,2023-05-01,2022-01-01
337,BRAND_267B_COUNTRY_9488,2023-06-01,2022-01-01
338,BRAND_267B_COUNTRY_9488,2023-07-01,2022-01-01
339,BRAND_267B_COUNTRY_9488,2023-08-01,2022-01-01
340,BRAND_267B_COUNTRY_9488,2023-09-01,2022-01-01
341,BRAND_267B_COUNTRY_9488,2023-10-01,2022-01-01
342,BRAND_267B_COUNTRY_9488,2023-11-01,2022-01-01
343,BRAND_267B_COUNTRY_9488,2023-12-01,2022-01-01
344,BRAND_29F9_COUNTRY_5FEB,2023-01-01,2022-01-01
345,BRAND_29F9_COUNTRY_5FEB,2023-02-01,2022-01-01
346,BRAND_29F9_COUNTRY_5FEB,2023-03-01,2022-01-01
347,BRAND_29F9_COUNTRY_5FEB,2023-04-01,2022-01-01
348,BRAND_29F9_COUNTRY_5FEB,2023-05-01,2022-01-01
349,BRAND_29F9_COUNTRY_5FEB,2023-06-01,2022-01-01
350,BRAND_29F9_COUNTRY_5FEB,2023-07-01,2022-01-01
351,BRAND_29F9_COUNTRY_5FEB,2023-08-01,2022-01-01
352,BRAND_29F9_COUNTRY_5FEB,2023-09-01,2022-01-01
353,BRAND_29F9_COUNTRY_5FEB,2023-10-01,2022-01-01
354,BRAND_29F9_COUNTRY_5FEB,2023-11-01,2022-01-01
355,BRAND_29F9_COUNTRY_5FEB,2023-12-01,2022-01-01
356,BRAND_2D13_COUNTRY_0C7D,2023-01-01,2022-11-01
357,BRAND_2D13_COUNTRY_0C7D,2023-02-01,2022-11-01
